id,学校名,エリア,都県,共学別学,住所,最寄り駅,徒歩分,SAPIX偏差値_min,SAPIX偏差値_max,四谷大塚偏差値_min,四谷大塚偏差値_max,校風,探究レベル,AI教育,ICT環境,未来志向,情熱適性,自走力適性,表現力適性,協働力適性,通学エリア,特徴
s011,東京都市大学付属中学校,世田谷区,東京,男子校,東京都世田谷区成城1-13-1,成城学園前駅,10,52,54,57,57,バランス,4,4,4,4,4,3,4,4,"世田谷,目黒,大田,渋谷","理系,ICT,探究,グローバル"
s012,洗足学園中学校,川崎市,神奈川,女子校,神奈川県川崎市高津区久本2-3-1,武蔵溝ノ口駅,8,56,57,63,65,バランス,4,4,4,5,4,4,5,4,"川崎,横浜,大田,世田谷","音楽,国際,探究,ICT"
s013,渋谷教育学園幕張中学校,千葉市,千葉,共学,千葉県千葉市美浜区若葉1-3,海浜幕張駅,10,64,65,69,70,自由,5,4,5,5,5,5,5,4,"千葉,船橋,習志野,市川","探究,国際,自調自考,ICT"
s014,聖光学院中学校,横浜市,神奈川,男子校,神奈川県横浜市中区滝之上100,山手駅,8,67,68,70,70,規律,4,3,4,4,4,4,3,4,"横浜,川崎,鎌倉,藤沢","カトリック,進学実績,規律,教養"
s015,豊島岡女子学園中学校,豊島区,東京,女子校,東京都豊島区東池袋1-25-22,池袋駅,7,58,61,65,67,規律,3,3,4,4,4,4,3,4,"豊島,文京,新宿,板橋","進学実績,運針,規律,理系"
s016,ドルトン東京学園中等部,調布市,東京,共学,東京都調布市入間町2-28-20,成城学園前駅,バス10,36,42,48,55,自由,5,5,5,5,5,5,5,5,"調布,世田谷,狛江,府中","ドルトンプラン,探究,STEAM,個別最適"
s017,開智日本橋学園中学校,中央区,東京,共学,東京都中央区日本橋馬喰町2-7-6,馬喰町駅,2,52,52,57,60,バランス,5,4,4,5,4,4,5,5,"中央,千代田,台東,江東","IB,探究,国際,PBL"
s018,サレジアン国際学園中学校,北区,東京,共学,東京都北区赤羽台4-2-14,赤羽駅,10,32,40,45,52,バランス,4,4,4,5,4,3,4,5,"北区,板橋,豊島,荒川","PBL,21世紀型,国際,STEAM"
s019,芝中学校,港区,東京,男子校,東京都港区芝公園3-5-37,御成門駅,3,47,55,58,63,バランス,3,3,3,3,4,4,3,4,"港区,品川,渋谷,中央","伝統,仏教,温かさ,文武両道"
s020,吉祥女子中学校,武蔵野市,東京,女子校,東京都武蔵野市吉祥寺東町4-12-20,西荻窪駅,8,48,54,60,65,バランス,4,3,4,4,4,4,4,4,"武蔵野,三鷹,杉並,練馬","芸術,自主性,進学実績,バランス"
s021,海城中学校,新宿区,東京,男子校,東京都新宿区大久保3-6-1,新大久保駅,5,59,61,65,67,バランス,4,3,4,4,5,5,5,4,"新宿,豊島,渋谷,中野","探究,国際,帰国生,進学実績"
s022,早稲田中学校,新宿区,東京,男子校,東京都新宿区馬場下町62,早稲田駅,1,59,62,65,68,バランス,3,3,3,4,5,5,4,3,"新宿,豊島,文京,渋谷","進学実績,自主性,文武両道,伝統"
s023,駒場東邦中学校,世田谷区,東京,男子校,東京都世田谷区池尻4-5-1,駒場東大前駅,10,60,60,66,66,バランス,4,3,4,4,5,5,4,3,"世田谷,目黒,渋谷,大田","進学実績,理系,自主性,教養"
s024,本郷中学校,豊島区,東京,男子校,東京都豊島区駒込4-11-1,巣鴨駅,3,52,60,61,65,バランス,3,3,3,4,4,4,4,4,"豊島,文京,板橋,新宿","進学実績,文武両道,伝統,理系"
s025,攻玉社中学校,品川区,東京,男子校,東京都品川区西五反田5-14-2,不動前駅,2,53,54,61,62,バランス,3,3,3,3,4,4,3,3,"品川,大田,渋谷,目黒","進学実績,伝統,規律,国際"
s026,巣鴨中学校,豊島区,東京,男子校,東京都豊島区上池袋1-21-1,巣鴨駅,10,52,57,58,65,規律,3,3,3,3,5,5,3,3,"豊島,文京,板橋,北区","進学実績,努力主義,規律,伝統"
s027,世田谷学園中学校,世田谷区,東京,男子校,東京都世田谷区三宿1-16-31,三軒茶屋駅,10,45,55,57,62,バランス,3,3,3,3,4,4,3,4,"世田谷,渋谷,目黒,大田","仏教,進学実績,文武両道,伝統"
s028,桐朋中学校,国立市,東京,男子校,東京都国立市中3-1-10,国立駅,15,46,53,56,61,自由,4,3,3,4,4,4,4,3,"国立,立川,国分寺,府中","自由,自然,音楽,伝統"
s029,城北中学校,板橋区,東京,男子校,東京都板橋区東新町2-28-1,上板橋駅,10,48,53,58,59,バランス,3,3,3,3,4,4,3,3,"板橋,豊島,練馬,北区","進学実績,文武両道,規律,理系"
s030,明大明治中学校,調布市,東京,共学,東京都調布市富士見町4-23-25,調布駅,バス10,55,56,62,62,バランス,3,3,4,4,3,3,4,4,"調布,世田谷,府中,三鷹","大学附属,教養,バランス,ICT"
s031,青山学院中等部,渋谷区,東京,共学,東京都渋谷区渋谷4-4-25,表参道駅,3,52,52,60,60,バランス,3,3,4,4,3,3,4,5,"渋谷,港区,目黒,世田谷","大学附属,キリスト教,国際,教養"
s032,中央大学附属中学校,小金井市,東京,共学,東京都小金井市貫井北町3-22-1,武蔵小金井駅,バス7,48,49,57,57,バランス,3,3,3,3,3,3,3,4,"小金井,武蔵野,国分寺,三鷹","大学附属,自由,教養,進学"
s033,法政大学中学校,三鷹市,東京,共学,東京都三鷹市牟礼4-3-1,三鷹駅,バス15,46,46,56,56,バランス,3,3,3,3,3,3,3,4,"三鷹,武蔵野,杉並,調布","大学附属,自由,教養,進学"
s034,東京農業大学第一高等学校中等部,世田谷区,東京,共学,東京都世田谷区桜3-33-1,経堂駅,15,50,54,59,61,バランス,4,3,4,4,4,4,4,4,"世田谷,渋谷,目黒,大田","理系,実学,探究,ICT"
s035,広尾学園小石川中学校,文京区,東京,共学,東京都文京区本駒込2-29-1,千石駅,3,51,55,62,64,バランス,4,4,5,5,4,4,4,4,"文京,豊島,台東,北区","ICT,サイエンス,国際,探究"
s036,都市大等々力中学校,世田谷区,東京,共学,東京都世田谷区等々力8-10-1,等々力駅,10,41,47,56,59,バランス,3,3,4,4,3,3,3,4,"世田谷,目黒,大田,渋谷","進学実績,ICT,グローバル,探究"
s037,芝浦工業大学附属中学校,江東区,東京,共学,東京都江東区豊洲6-2-7,新豊洲駅,1,47,48,55,57,バランス,4,4,4,4,4,3,4,4,"江東,墨田,中央,港区","理系,ICT,STEAM,ものづくり"
s038,国学院大学久我山中学校,杉並区,東京,共学,東京都杉並区久我山1-9-1,久我山駅,12,46,47,58,58,バランス,3,3,3,3,4,4,3,4,"杉並,世田谷,練馬,中野","伝統,文武両道,規律,教養"
s039,浅野中学校,横浜市,神奈川,男子校,神奈川県横浜市神奈川区子安台1-3-1,新子安駅,8,57,57,64,64,バランス,3,3,3,4,4,4,3,3,"横浜,川崎,鎌倉,品川","進学実績,文武両道,伝統,理系"
s040,慶應義塾湘南藤沢中等部,藤沢市,神奈川,共学,神奈川県藤沢市遠藤5466,湘南台駅,バス15,58,60,65,65,バランス,4,4,4,5,4,4,4,5,"藤沢,鎌倉,横浜,茅ヶ崎","大学附属,国際,ICT,帰国生"
s041,サレジオ学院中学校,横浜市,神奈川,男子校,神奈川県横浜市都筑区南山田3-43-1,北山田駅,5,50,54,61,61,バランス,3,3,3,4,4,4,3,4,"横浜,川崎,大田,品川","カトリック,進学実績,温かさ,少人数"
s042,逗子開成中学校,逗子市,神奈川,男子校,神奈川県逗子市新宿2-11-1,逗子駅,12,50,51,58,60,バランス,4,3,3,4,4,4,4,4,"逗子,鎌倉,横浜,藤沢","海洋教育,自然,探究,グローバル"
s043,鎌倉学園中学校,鎌倉市,神奈川,男子校,神奈川県鎌倉市山ノ内110,北鎌倉駅,3,43,55,52,58,バランス,3,3,3,3,4,4,3,3,"鎌倉,藤沢,逗子,横浜","伝統,仏教,文武両道,自然"
s044,フェリス女学院中学校,横浜市,神奈川,女子校,神奈川県横浜市中区山手町178,石川町駅,7,53,53,62,62,自由,4,3,3,4,4,5,4,4,"横浜,川崎,鎌倉,品川","キリスト教,自由,教養,国際"
s045,中央大学横浜中学校,横浜市,神奈川,共学,神奈川県横浜市都筑区牛久保東1-14-1,センター北駅,7,48,50,57,59,バランス,3,3,3,3,3,3,3,4,"横浜,川崎,大田,品川","大学附属,教養,バランス,進学"
s046,神奈川大学附属中学校,横浜市,神奈川,共学,神奈川県横浜市緑区台村町800,中山駅,15,49,50,56,58,バランス,3,3,3,3,3,3,3,4,"横浜,川崎,大田,世田谷","大学附属,自然,バランス,進学"
s047,法政大学第二中学校,川崎市,神奈川,共学,神奈川県川崎市中原区木月大町6-1,武蔵小杉駅,10,47,51,57,57,バランス,3,3,3,3,3,3,3,4,"川崎,横浜,大田,世田谷","大学附属,自由,文武両道,教養"
s048,慶應義塾普通部,横浜市,神奈川,男子校,神奈川県横浜市港北区日吉本町1-45-1,日吉駅,5,58,58,65,65,バランス,4,3,4,4,4,4,4,5,"横浜,川崎,大田,品川","大学附属,教養,人間力,伝統"
s049,筑波大学附属駒場中学校,世田谷区,東京,男子校,東京都世田谷区池尻4-7-1,駒場東大前駅,7,71,71,74,74,自由,5,3,3,5,5,5,5,3,"世田谷,目黒,渋谷,大田","国立,進学実績,自由,探究"
s050,早稲田実業学校中等部,国分寺市,東京,共学,東京都国分寺市本町1-2-1,国分寺駅,7,57,57,65,65,バランス,3,3,3,4,4,4,4,4,"国分寺,小金井,国立,立川","大学附属,文武両道,教養,伝統"
s051,早大学院中学部,練馬区,東京,男子校,東京都練馬区上石神井3-31-1,上石神井駅,7,56,56,65,65,バランス,3,3,3,4,4,4,4,4,"練馬,豊島,板橋,新宿","大学附属,自由,教養,進学"
s052,立教池袋中学校,豊島区,東京,男子校,東京都豊島区西池袋5-16-5,池袋駅,10,48,48,59,60,バランス,3,3,3,3,3,3,3,4,"豊島,文京,板橋,新宿","大学附属,キリスト教,教養,自由"
s053,学習院中等科,豊島区,東京,男子校,東京都豊島区目白1-5-1,目白駅,5,45,45,54,54,バランス,3,3,3,3,3,3,3,4,"豊島,文京,新宿,渋谷","伝統,教養,皇室,バランス"
s054,暁星中学校,千代田区,東京,男子校,東京都千代田区富士見1-2-5,飯田橋駅,5,43,43,53,53,規律,3,3,3,3,3,4,3,3,"千代田,文京,新宿,港区","カトリック,フランス語,伝統,進学"
s055,高輪中学校,港区,東京,男子校,東京都港区高輪2-1-32,泉岳寺駅,3,47,56,56,63,バランス,3,3,3,3,3,4,3,3,"港区,品川,渋谷,大田","伝統,バランス,進学実績,温かさ"
s056,明大中野中学校,中野区,東京,男子校,東京都中野区東中野3-3-4,東中野駅,5,48,48,59,59,バランス,3,3,3,3,3,3,3,4,"中野,新宿,杉並,渋谷","大学附属,文武両道,教養,伝統"
s057,明治大学付属中野八王子中学校,八王子市,東京,共学,東京都八王子市戸吹町1100,拝島駅,バス15,39,43,53,56,バランス,3,3,3,3,3,3,3,4,"八王子,日野,立川,多摩","大学附属,自然,教養,進学"
s058,青学横浜英和中学校,横浜市,神奈川,共学,神奈川県横浜市南区蒔田町124,蒔田駅,3,43,49,56,58,バランス,3,3,3,4,3,3,4,4,"横浜,川崎,大田,品川","キリスト教,大学附属,国際,教養"
s059,都立小石川中等教育学校,文京区,東京,共学,東京都文京区本駒込2-29-29,千石駅,3,60,60,65,65,バランス,5,3,4,5,4,5,4,4,"文京,千代田,豊島,台東","探究,理系,国際,進学実績"
s060,都立武蔵高等学校附属中学校,武蔵野市,東京,共学,東京都武蔵野市境4-13-28,武蔵境駅,10,51,51,62,62,バランス,4,3,4,4,4,4,4,4,"武蔵野,三鷹,杉並,練馬","探究,理系,公立,バランス"
s061,都立桜修館中等教育学校,目黒区,東京,共学,東京都目黒区八雲1-1-2,都立大学駅,10,52,52,61,61,バランス,4,3,4,4,4,4,5,4,"目黒,世田谷,品川,渋谷","探究,論文,公立,教養"
s062,都立両国高等学校附属中学校,墨田区,東京,共学,東京都墨田区江東橋1-7-14,錦糸町駅,5,48,48,60,60,バランス,4,3,3,4,4,4,4,4,"墨田,台東,江東,中央","伝統,探究,公立,バランス"
s063,都立三鷹中等教育学校,三鷹市,東京,共学,東京都三鷹市新川6-21-21,三鷹駅,バス15,48,48,58,58,バランス,4,3,4,4,3,4,4,4,"三鷹,武蔵野,調布,杉並","探究,公立,バランス,ICT"
s064,都立南多摩中等教育学校,八王子市,東京,共学,東京都八王子市明神町4-20-1,八王子駅,5,45,45,58,58,バランス,4,3,3,4,3,4,4,4,"八王子,日野,多摩,立川","探究,公立,フィールドワーク,バランス"
s065,都立大泉高等学校附属中学校,練馬区,東京,共学,東京都練馬区東大泉5-3-1,大泉学園駅,8,45,45,61,61,バランス,4,3,3,4,3,4,4,4,"練馬,板橋,西東京,杉並","探究,国際,公立,バランス"
s066,市川中学校,市川市,千葉,共学,千葉県市川市本北方2-38-1,鬼越駅,4,57,58,65,65,バランス,4,4,4,5,4,4,4,4,"市川,船橋,江戸川,松戸","探究,ICT,国際,進学実績"
s067,東邦大学付属東邦中学校,習志野市,千葉,共学,千葉県習志野市泉町2-1-37,京成大久保駅,10,54,55,60,61,バランス,4,4,4,4,4,4,4,4,"習志野,船橋,千葉,市川","理系,サイエンス,探究,進学実績"
s068,昭和学院秀英中学校,千葉市,千葉,共学,千葉県千葉市美浜区若葉1-2,海浜幕張駅,10,51,53,60,63,バランス,3,3,4,4,4,4,3,4,"千葉,習志野,船橋,市川","進学実績,バランス,ICT,教養"
s069,芝浦工業大学柏中学校,柏市,千葉,共学,千葉県柏市増尾700,増尾駅,バス10,46,49,54,56,バランス,4,4,4,4,4,3,4,4,"柏,松戸,我孫子,流山","理系,STEAM,ICT,探究"
s070,専修大学松戸中学校,松戸市,千葉,共学,千葉県松戸市上本郷2-3621,北松戸駅,10,44,44,54,54,バランス,3,3,3,3,3,3,3,4,"松戸,柏,市川,葛飾","大学附属,バランス,進学,教養"
s071,県立千葉中学校,千葉市,千葉,共学,千葉県千葉市中央区葛城1-5-2,本千葉駅,10,58,58,64,64,バランス,4,3,4,4,4,5,4,4,"千葉,習志野,船橋,市川","公立,探究,進学実績,バランス"
s072,県立東葛飾中学校,柏市,千葉,共学,千葉県柏市旭町3-2-1,柏駅,8,53,53,62,62,バランス,4,3,4,4,4,4,4,4,"柏,松戸,流山,我孫子","公立,探究,医歯薬,バランス"
s073,麗澤中学校,柏市,千葉,共学,千葉県柏市光ヶ丘2-1-1,南柏駅,バス5,38,38,46,52,バランス,3,3,3,4,3,3,3,4,"柏,松戸,流山,我孫子","道徳,国際,自然,教養"
s074,千葉日本大学第一中学校,船橋市,千葉,共学,千葉県船橋市習志野台8-34-1,船橋日大前駅,1,36,36,44,49,バランス,3,3,3,3,3,3,3,3,"船橋,習志野,千葉,市川","大学附属,バランス,進学,教養"
s075,昭和学院中学校,市川市,千葉,共学,千葉県市川市東菅野2-17-1,京成八幡駅,15,32,36,48,50,バランス,3,3,3,3,3,3,3,3,"市川,船橋,江戸川,松戸","バランス,ICT,探究,教養"
s076,日出学園中学校,市川市,千葉,共学,千葉県市川市菅野3-23-1,菅野駅,5,31,31,43,43,バランス,3,3,3,3,3,3,3,3,"市川,船橋,江戸川,松戸","少人数,バランス,教養,温かさ"
s077,山手学院中学校,横浜市,神奈川,共学,神奈川県横浜市栄区上郷町460,港南台駅,12,39,47,52,60,バランス,3,3,3,4,3,3,3,4,"横浜,川崎,大田,品川","国際,進学実績,バランス,留学"
s078,公文国際学園中等部,横浜市,神奈川,共学,神奈川県横浜市戸塚区小雀町777,大船駅,バス15,40,40,51,52,自由,4,3,3,4,4,4,4,3,"横浜,鎌倉,藤沢,川崎","自学自習,国際,帰国生,自由"
s079,関東学院中学校,横浜市,神奈川,共学,神奈川県横浜市南区三春台4,黄金町駅,5,38,38,48,51,バランス,3,3,3,3,3,3,3,4,"横浜,川崎,品川,大田","キリスト教,バランス,教養,伝統"
s080,桐蔭学園中等教育学校,横浜市,神奈川,共学,神奈川県横浜市青葉区鉄町1614,市が尾駅,バス15,40,45,49,56,バランス,3,3,4,4,3,3,3,4,"横浜,川崎,町田,大田","進学実績,ICT,探究,バランス"
s081,森村学園中等部,横浜市,神奈川,共学,神奈川県横浜市緑区長津田町2695,つくし野駅,5,40,40,50,51,バランス,3,3,3,3,3,3,3,4,"横浜,川崎,町田,大田","自然,教養,温かさ,バランス"
s082,日本大学中学校,横浜市,神奈川,共学,神奈川県横浜市港北区箕輪町2-9-1,日吉駅,12,42,42,50,52,バランス,3,3,3,3,3,3,3,3,"横浜,川崎,大田,品川","大学附属,バランス,進学,教養"
s083,日本大学藤沢中学校,藤沢市,神奈川,共学,神奈川県藤沢市亀井野1866,六会日大前駅,8,38,38,48,49,バランス,3,3,3,3,3,3,3,3,"藤沢,茅ヶ崎,鎌倉,横浜","大学附属,自然,バランス,進学"
s084,湘南白百合学園中学校,藤沢市,神奈川,女子校,神奈川県藤沢市片瀬目白山4-1,片瀬江ノ島駅,15,36,46,50,58,バランス,3,3,3,4,3,4,4,4,"藤沢,鎌倉,横浜,茅ヶ崎","カトリック,教養,国際,伝統"
s085,横浜雙葉中学校,横浜市,神奈川,女子校,神奈川県横浜市中区山手町88,石川町駅,10,43,45,51,55,規律,3,3,3,3,3,4,3,3,"横浜,川崎,品川,大田","カトリック,教養,伝統,礼法"
s086,横浜共立学園中学校,横浜市,神奈川,女子校,神奈川県横浜市中区山手町212,石川町駅,10,39,49,50,53,バランス,3,3,3,3,3,4,3,3,"横浜,川崎,品川,大田","キリスト教,教養,伝統,バランス"
s087,カリタス女子中学校,川崎市,神奈川,女子校,神奈川県川崎市多摩区中野島4-6-1,中野島駅,10,39,39,47,51,バランス,3,3,3,3,3,3,4,4,"川崎,横浜,大田,世田谷","カトリック,フランス語,国際,教養"
s088,鎌倉女学院中学校,鎌倉市,神奈川,女子校,神奈川県鎌倉市由比ガ浜2-10-4,鎌倉駅,7,37,38,42,44,バランス,3,3,3,3,3,3,3,3,"鎌倉,藤沢,逗子,横浜","伝統,教養,自然,バランス"
s089,県立相模原中等教育学校,相模原市,神奈川,共学,神奈川県相模原市南区相模大野4-1-1,相模大野駅,10,48,48,62,62,バランス,4,3,4,4,4,4,4,4,"相模原,町田,八王子,座間","公立,探究,進学実績,バランス"
s090,横浜市立サイエンスフロンティア附属中学校,横浜市,神奈川,共学,神奈川県横浜市鶴見区小野町6,鶴見小野駅,3,50,50,64,64,バランス,5,4,5,5,5,4,4,4,"横浜,川崎,大田,品川","理系,サイエンス,STEAM,公立"
s091,横浜市立南高等学校附属中学校,横浜市,神奈川,共学,神奈川県横浜市港南区東永谷2-1-1,上永谷駅,15,49,49,61,61,バランス,4,3,4,4,4,4,4,4,"横浜,川崎,品川,大田","公立,探究,EGG,バランス"
s092,雙葉中学校,千代田区,東京,女子校,東京都千代田区六番町14-1,四ツ谷駅,2,58,58,65,65,規律,3,3,3,4,3,5,3,3,"千代田,文京,港区,新宿","カトリック,教養,伝統,フランス語"
s093,白百合学園中学校,千代田区,東京,女子校,東京都千代田区九段北2-4-1,飯田橋駅,10,48,48,58,58,規律,3,3,3,3,3,4,3,3,"千代田,文京,新宿,港区","カトリック,教養,フランス語,伝統"
s094,頌栄女子学院中学校,港区,東京,女子校,東京都港区白金台2-26-5,高輪台駅,1,49,52,60,64,バランス,3,3,3,4,3,4,4,4,"港区,品川,渋谷,目黒","キリスト教,国際,帰国生,英語"
s095,鷗友学園女子中学校,世田谷区,東京,女子校,東京都世田谷区宮坂1-5-30,経堂駅,8,52,55,61,64,自由,4,3,3,4,4,4,4,4,"世田谷,渋谷,目黒,大田","自由,探究,園芸,教養"
s096,学習院女子中等科,新宿区,東京,女子校,東京都新宿区戸山3-20-1,西早稲田駅,3,47,47,56,56,規律,3,3,3,3,3,3,3,3,"新宿,豊島,渋谷,文京","伝統,教養,皇室,礼法"
s097,東洋英和女学院中学部,港区,東京,女子校,東京都港区六本木5-14-40,麻布十番駅,5,46,47,56,60,バランス,3,3,3,3,3,4,4,4,"港区,渋谷,品川,目黒","キリスト教,教養,国際,伝統"
s098,普連土学園中学校,港区,東京,女子校,東京都港区三田4-14-16,田町駅,8,40,47,52,58,バランス,3,3,3,3,3,4,4,4,"港区,品川,渋谷,目黒","キリスト教,少人数,教養,温かさ"
s099,大妻中学校,千代田区,東京,女子校,東京都千代田区三番町12,半蔵門駅,5,43,50,55,61,バランス,3,3,3,3,3,4,3,3,"千代田,文京,新宿,港区","伝統,教養,進学実績,バランス"
s100,共立女子中学校,千代田区,東京,女子校,東京都千代田区一ツ橋2-2-1,神保町駅,2,38,44,49,55,バランス,3,3,3,3,3,3,3,4,"千代田,文京,中央,港区","伝統,教養,バランス,温かさ"
s101,三輪田学園中学校,千代田区,東京,女子校,東京都千代田区九段北3-3-15,市ヶ谷駅,7,35,38,44,50,バランス,3,3,3,3,3,3,3,3,"千代田,文京,新宿,港区","教養,英語,伝統,温かさ"
s102,山脇学園中学校,港区,東京,女子校,東京都港区赤坂4-10-36,赤坂見附駅,7,40,48,51,59,バランス,3,3,4,4,3,3,4,3,"港区,渋谷,品川,千代田","サイエンス,英語,ICT,教養"
s103,恵泉女学園中学校,世田谷区,東京,女子校,東京都世田谷区船橋5-8-1,経堂駅,12,36,40,46,52,自由,4,3,3,3,3,4,4,4,"世田谷,渋谷,目黒,大田","キリスト教,園芸,国際,平和"
s104,富士見中学校,練馬区,東京,女子校,東京都練馬区中村北4-8-26,中村橋駅,3,43,49,54,59,バランス,3,3,3,3,3,4,4,4,"練馬,豊島,板橋,杉並","探究,進学実績,バランス,教養"
s105,淑徳与野中学校,さいたま市,埼玉,女子校,埼玉県さいたま市中央区上落合5-19-18,北与野駅,7,46,49,57,62,バランス,3,3,3,4,4,4,3,4,"さいたま,川口,戸田,朝霞","仏教,進学実績,医系,教養"
s106,栄東中学校,さいたま市,埼玉,共学,埼玉県さいたま市見沼区砂町2-77,東大宮駅,8,48,58,60,67,バランス,4,3,4,4,4,4,4,4,"さいたま,川口,大宮,浦和","進学実績,探究,AL,バランス"
s107,開智中学校,さいたま市,埼玉,共学,埼玉県さいたま市岩槻区徳力186,東岩槻駅,15,42,52,52,62,バランス,5,4,4,5,4,4,4,4,"さいたま,大宮,春日部,蓮田","探究,フィールドワーク,PBL,理系"
s108,大宮開成中学校,さいたま市,埼玉,共学,埼玉県さいたま市大宮区堀の内町1-615,大宮駅,バス10,38,45,47,57,バランス,3,3,3,3,3,3,3,3,"さいたま,大宮,上尾,桶川","進学実績,バランス,特待,教養"
s109,立教新座中学校,新座市,埼玉,男子校,埼玉県新座市北野1-2-25,志木駅,15,50,50,59,59,バランス,3,3,3,3,3,3,3,4,"新座,朝霞,志木,和光","大学附属,キリスト教,教養,自由"
s110,城北埼玉中学校,川越市,埼玉,男子校,埼玉県川越市古市場585-1,笠幡駅,バス10,35,40,43,50,バランス,3,3,3,3,3,3,3,3,"川越,ふじみ野,所沢,朝霞","進学実績,文武両道,バランス,伝統"
s111,開智所沢中等教育学校,所沢市,埼玉,共学,埼玉県所沢市下富1108-1,東所沢駅,バス10,40,48,50,58,バランス,5,4,4,5,4,4,4,4,"所沢,入間,飯能,狭山","探究,PBL,STEAM,新設校"
s112,筑波大学附属中学校,文京区,東京,共学,東京都文京区大塚1-9-1,茗荷谷駅,3,58,58,64,64,バランス,4,3,3,4,4,5,4,4,"文京,千代田,台東,豊島","国立,探究,教養,進学実績"
s113,東京学芸大学附属世田谷中学校,世田谷区,東京,共学,東京都世田谷区深沢4-3-1,駒沢大学駅,15,48,48,56,56,自由,4,3,3,4,4,4,4,4,"世田谷,目黒,渋谷,大田","国立,探究,教育研究,自由"
s114,お茶の水女子大学附属中学校,文京区,東京,共学,東京都文京区大塚2-1-1,茗荷谷駅,5,52,52,62,62,自由,4,3,3,4,4,5,4,4,"文京,千代田,台東,豊島","国立,探究,ジェンダー,教養"
s115,淑徳中学校,板橋区,東京,共学,東京都板橋区前野町5-14-1,志村三丁目駅,10,36,40,46,56,バランス,3,3,3,3,3,3,3,3,"板橋,豊島,練馬,北区","仏教,進学実績,バランス,特待"
s116,佼成学園中学校,杉並区,東京,男子校,東京都杉並区和田2-6-29,方南町駅,5,39,39,54,54,バランス,3,3,3,3,3,3,3,3,"杉並,中野,新宿,練馬","仏教,文武両道,バランス,アメフト"
s117,宝仙学園中学校共学部,中野区,東京,共学,東京都中野区中央2-28-3,中野坂上駅,5,35,42,44,52,バランス,4,4,4,4,4,3,4,4,"中野,新宿,杉並,渋谷","ICT,理数,探究,プログラミング"
s118,成城学園中学校,世田谷区,東京,共学,東京都世田谷区成城6-1-20,成城学園前駅,4,38,38,49,49,自由,3,3,3,3,3,3,4,4,"世田谷,渋谷,新宿,目黒","自由,教養,芸術,大学附属"
s119,成蹊中学校,武蔵野市,東京,共学,東京都武蔵野市吉祥寺北町3-10-13,吉祥寺駅,15,42,44,53,55,バランス,3,3,3,3,3,3,3,4,"武蔵野,三鷹,杉並,練馬","教養,国際,自然,バランス"
s120,帝京大学中学校,八王子市,東京,共学,東京都八王子市越野322,京王堀之内駅,バス10,34,38,40,47,バランス,3,3,3,3,3,3,3,3,"八王子,日野,多摩,立川","大学附属,バランス,少人数,進学"
s121,穎明館中学校,八王子市,東京,共学,東京都八王子市館町2600,京王高尾山口駅,バス5,36,40,46,52,バランス,3,3,3,3,3,3,3,3,"八王子,日野,多摩,立川","進学実績,自然,少人数,バランス"
